,SoW,title,Standards,introduction,scope,id
0,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Information technology — Security techniques — Information security risk management,https://www.iso.org/obp/ui/#!iso:std:56742:en,"IntroductionThis International Standard provides guidelines for information security risk management in an organization, supporting in particular the requirements of an information security management (ISMS) according to ISO/IEC 27001. However, this International Standard does not provide any specific method for information security risk management. It is up to the organization to define their approach to risk management, depending for example on the scope of the ISMS, context of risk management, or industry sector. A number of existing methodologies can be used under the framework described in this International Standard to implement the requirements of an ISMS.This International Standard is relevant to managers and staff concerned with information security risk management within an organization and, where appropriate, external parties supporting such activities.","1   ScopeThis International Standard provides guidelines for information security risk management.This International Standard supports the general concepts specified in ISO/IEC 27001 and is designed to assist the satisfactory implementation of information security based on a risk management approach.Knowledge of the concepts, models, processes and terminologies described in ISO/IEC 27001 and ISO/IEC 27002 is important for a complete understanding of this International Standard.This International Standard is applicable to all types of organizations (e.g. commercial enterprises, government agencies, non-profit organizations) which intend to manage risks that could compromise the organization’s information security.",ISO/IEC 27005:2011(en)
1,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Information technology — Service management — Part 1: Service management system requirements,https://www.iso.org/obp/ui/#!iso:std:51986:en,"IntroductionThe requirements in this part of ISO/IEC 20000 include the design, transition, delivery and improvement of services that fulfil service requirements and provide value for both the customer and the service provider. This part of ISO/IEC 20000 requires an integrated process approach when the service provider plans, establishes, implements, operates, monitors, reviews, maintains and improves a service management system (SMS).Co-ordinated integration and implementation of an SMS provides ongoing control and opportunities for continual improvement, greater effectiveness and efficiency. The operation of processes as specified in this part of ISO/IEC 20000 requires personnel to be well organized and co-ordinated. Appropriate tools can be used to enable the processes to be effective and efficient.The most effective service providers consider the impact on the SMS through all stages of the service lifecycle, from strategy through design, transition and operation, including continual improvement.This part of ISO/IEC 20000 requires the application of the methodology known as “Plan-Do-Check-Act” (PDCA) to all parts of the SMS and the services. The PDCA methodology, as applied in this part of ISO/IEC 20000, can be briefly described as follows.Plan: establishing, documenting and agreeing the SMS. The SMS includes the policies, objectives, plans and processes to fulfil the service requirements.Do: implementing and operating the SMS for the design, transition, delivery and improvement of the services.Check: monitoring, measuring and reviewing the SMS and the services against the policies, objectives, plans and service requirements and reporting the results.Act: taking actions to continually improve performance of the SMS and the services.When used within an SMS, the following are the most important aspects of an integrated process approach and the PDCA methodology:a) understanding and fulfilling the service requirements to achieve customer satisfaction;b) establishing the policy and objectives for service management;c) designing and delivering services based on the SMS that add value for the customer;d) monitoring, measuring and reviewing performance of the SMS and the services;e) continually improving the SMS and the services based on objective measurements.Figure 1 illustrates how the PDCA methodology can be applied to the SMS, including the service management processes specified in Clauses 5 to 9, and the services. Each element of the PDCA methodology is a vital part of a successful implementation of an SMS. The improvement process used in this part of ISO/IEC 20000 is based on the PDCA methodology.Figure 1
—
PDCA methodology applied to service managementThis part of ISO/IEC 20000 enables a service provider to integrate its SMS with other management systems in the service provider's organization. The adoption of an integrated process approach and the PDCA methodology enables the service provider to align or fully integrate multiple management system standards. For example, an SMS can be integrated with a quality management system based on ISO 9001 or an information security management system based on ISO/IEC 27001.ISO/IEC 20000 is intentionally independent of specific guidance. The service provider can use a combination of generally accepted guidance and its own experience.Users of an International Standard are responsible for its correct application. An International Standard does not purport to include all necessary statutory and regulatory requirements and contractual obligations of the service provider. Conformity to an International Standard does not of itself confer immunity from statutory and regulatory requirements.For the purposes of research on service management standards, users are encouraged to share their views on ISO/IEC 20000-1 and their priorities for changes to the rest of the ISO/IEC 20000 series. Click on the link below to take part in the online survey.ISO/IEC 20000-1 online survey","1   Scope1.1   GeneralThis part of ISO/IEC 20000 is a service management system (SMS) standard. It specifies requirements for the service provider to plan, establish, implement, operate, monitor, review, maintain and improve an SMS. The requirements include the design, transition, delivery and improvement of services to fulfil service requirements. This part of ISO/IEC 20000 can be used by:a) an organization seeking services from service providers and requiring assurance that their service requirements will be fulfilled;b) an organization that requires a consistent approach by all its service providers, including those in a supply chain;c) a service provider that intends to demonstrate its capability for the design, transition, delivery and improvement of services that fulfil service requirements;d) a service provider to monitor, measure and review its service management processes and services;e) a service provider to improve the design, transition and delivery of services through effective implementation and operation of an SMS;f) an assessor or auditor as the criteria for a conformity assessment of a service provider's SMS to the requirements in this part of ISO/IEC 20000.Figure 2 illustrates an SMS, including the service management processes. The service management processes and the relationships between the processes can be implemented in different ways by different service providers. The nature of the relationship between a service provider and the customer will influence how the service management processes are implemented.Figure 2
—
Service management system1.2   ApplicationAll requirements in this part of ISO/IEC 20000 are generic and are intended to be applicable to all service providers, regardless of type, size and the nature of the services delivered. Exclusion of any of the requirements in Clauses 4 to 9 is not acceptable when a service provider claims conformity to this part of ISO/IEC 20000, irrespective of the nature of the service provider's organization.Conformity to the requirements in Clause 4 can only be demonstrated by a service provider showing evidence of fulfilling all of the requirements in Clause 4. A service provider cannot rely on evidence of the governance of processes operated by other parties for the requirements in Clause 4.Conformity to the requirements in Clauses 5 to 9 can be demonstrated by the service provider showing evidence of fulfilling all requirements. Alternatively, the service provider can show evidence of fulfilling the majority of the requirements themselves and evidence of the governance of processes operated by other parties for those processes, or parts of processes, that the service provider does not operate directly.The scope of this part of ISO/IEC 20000 excludes the specification for a product or tool. However, organizations can use this part of ISO/IEC 20000 to help them develop products or tools that support the operation of an SMS.NOTE ISO/IEC TR 20000-3 provides guidance on scope definition and applicability of this part of ISO/IEC 20000. This includes further explanation about the governance of processes operated by other parties.",ISO/IEC 20000-1:2011(en)
2,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Information technology — Security techniques — Information security controls for the energy utility industry,https://www.iso.org/obp/ui/#!iso:std:68091:en,"0	Introduction0.1	Background and contextThis document provides guiding principles based on ISO/IEC 27002:2013 “Code of practice for information security controls” for information security management applied to process control systems as used in the energy utility industry. The aim of this document is to extend the contents of ISO/IEC 27002:2013 to the domain of process control systems and automation technology, thus allowing the energy utility industry to implement a standardized and specific information security management system (ISMS) that is in accordance with ISO/IEC 27001:2013 and extends from the business to the process control level.In addition to the security objectives and measures that are set forth in ISO/IEC 27002:2013, the process control systems used by energy utilities and energy suppliers are subject to further special requirements. In comparison with conventional ICT environments (e.g. office IT, energy trading systems), there are fundamental and significant differences with respect to the development, operation, repair, maintenance and operating environment of process control systems. Furthermore, the process technology referred to in this document can represent integral components of critical infrastructures. This means they are therefore essential for the secure and reliable operation of such infrastructures. These distinctions and characteristics need to be taken into due consideration by the management processes for process control systems and justify separate consideration within the ISO/IEC 27000 family of standards.From the viewpoint of design and function, process control systems used by the energy utility sector are in fact information processing systems. They collect process data and monitor the status of the physical processes using sensors. The systems then process this data and generate control outputs that regulate actions using actuators. The control and regulation is automatic but manual intervention by operating personnel is also possible. Information and information processing systems are therefore an essential part of operational processes within energy utilities. This means that it is important that appropriate protection measures be applied in the same manner as for other organizational units.Software and hardware (e.g. programmable logic) components based on standard ICT technology are increasingly utilized in process control environments and are also covered in this document. Furthermore, process control systems in the energy utility sector are increasingly interconnected to form complex systems. Risks arising from this trend need to be considered in a risk assessment.The information and information processing systems in process control environments are also exposed to an increasing number of threats and vulnerabilities. It is therefore essential that, in the process control domain of the energy utility industry, adequate information security is achieved through the implementation and continuous improvement of an ISMS in accordance with ISO/IEC 27001:2013.Effective information security in the process control domain of the energy utility sector can be achieved by establishing, implementing, monitoring, reviewing and, if necessary, improving the applicable measures set forth in this document, in order to attain the specific security and business objectives of the organization. It is important to give particular consideration here to the special role of the energy utilities in society and to the economic necessity of a secure and reliable energy supply. Ultimately, the overall success of the cybersecurity of energy industries is based on collaborative efforts by all stakeholders (vendors, suppliers, customers, etc.).0.2	Security considerations for process control systems used by the energy utilitiesThe requirement for a general and overall information security framework for the process control domain of the energy utility industry is based on several basic requirements:a) Customers expect a secure and reliable energy supply.b) Legal and regulatory requirements demand safe, reliable and secure operation of energy supply systems.c) Energy providers require information security in order to safeguard their business interests, meet customers’ needs and comply with the legal regulations.0.3	Information security requirementsIt is essential that energy utility organizations identify their security requirements. There are three main sources of security requirements:a) The results of an organization’s risk assessment, taking into account the organization’s general business strategies and objectives. Through a risk assessment, risk sources and events are identified; potential consequences and likelihood of the occurrence of the risks are assessed.b) The requirements which result from legislation and bye-laws, regulations and contracts which have to be fulfilled by an organization, and sociocultural requirements. Particular examples include safeguarding a reliable, effective and secure energy supply as well as the reliable fulfilment of the requirements of a deregulated energy market, in particular the reliable and secure transfer of data with external parties.c) The specific principles, objectives and business requirements placed on information processing, which were developed by the organization for supporting its business operations.NOTE It is important that the energy utility organization ensure that security requirements of process control systems are analysed and adequately covered in policies for information security. The analysis of the information security requirements and objectives include the consideration of all relevant criteria for a secure energy supply and delivery, e.g.— Impairment of the security of energy supply;— Restriction of energy flow;— Affected share of population;— Danger of physical injury;— Effects on other critical infrastructures;— Effects on information privacy;— Financial impacts.The necessary security measures or controls are determined by the methodical assessment of security risks. It is necessary that the cost of controls be balanced against the economic losses that can be incurred due to security issues. The results of the risk assessment facilitate:— the definition of adequate management actions and priorities for the management of information security risks; and— the implementation of the controls chosen to protect against these risks.The risk assessment should be repeated periodically in order to take all changes into account, which can affect the results assessed.Requirements for the risk assessment and control selection are given in ISO/IEC 27001:2013.0.4	Selecting controlsOnce the security requirements and risks have been identified and decisions taken on how to deal with the risks, appropriate controls are then selected and implemented in order to ensure that the risks are reduced to an acceptable level.In addition to the controls provided by a comprehensive information security management system, this document provides additional assistance and sector-specific measures for the process control systems used by the energy utility sector, taking into consideration the special requirements in these environments. If necessary, further measures can be developed to fulfil particular requirements. The selection of security measures depends upon the decisions taken by the organization on the basis of its own risk acceptance criteria, the options for dealing with the risk and the general risk management approach of the organization. The selection of measures should also take relevant national and international law, legal ordinances and regulations into consideration.0.5	AudienceThis document is targeted at the persons responsible for the operation of process control systems used by energy utilities, information security managers, vendors, system integrators and auditors. For this target group, it details the fundamental measures in accordance with the objectives of ISO/IEC 27002:2013 and defines specific measures for process control systems of the energy utility industry, their supporting systems and the associated infrastructure.","1   ScopeThis document provides guidance based on ISO/IEC 27002:2013 applied to process control systems used by the energy utility industry for controlling and monitoring the production or generation, transmission, storage and distribution of electric power, gas, oil and heat, and for the control of associated supporting processes. This includes in particular the following:— central and distributed process control, monitoring and automation technology as well as information systems used for their operation, such as programming and parameterization devices;— digital controllers and automation components such as control and field devices or Programmable Logic Controllers (PLCs), including digital sensor and actuator elements;— all further supporting information systems used in the process control domain, e.g. for supplementary data visualization tasks and for controlling, monitoring, data archiving, historian logging, reporting and documentation purposes;— communication technology used in the process control domain, e.g. networks, telemetry, telecontrol applications and remote control technology;— Advanced Metering Infrastructure (AMI) components, e.g. smart meters;— measurement devices, e.g. for emission values;— digital protection and safety systems, e.g. protection relays, safety PLCs, emergency governor mechanisms;— energy management systems, e.g. of Distributed Energy Resources (DER), electric charging infrastructures, in private households, residential buildings or industrial customer installations;— distributed components of smart grid environments, e.g. in energy grids, in private households, residential buildings or industrial customer installations;— all software, firmware and applications installed on above-mentioned systems, e.g. DMS (Distribution Management System) applications or OMS (Outage Management System);— any premises housing the above-mentioned equipment and systems;— remote maintenance systems for above-mentioned systems.This document does not apply to the process control domain of nuclear facilities. This domain is covered by IEC 62645.This document also includes a requirement to adapt the risk assessment and treatment processes described in ISO/IEC 27001:2013 to the energy utility industry-sector–specific guidance provided in this document.",ISO/IEC 27019:2017(en)
3,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Information technology — Security techniques — Code of practice for information security controls based on ISO/IEC 27002 for cloud services,https://www.iso.org/obp/ui/#!iso:std:43757:en,"IntroductionThe guidelines contained within this Recommendation | International Standard are in addition to and complement the guidelines given in ISO/IEC 27002.Specifically, this Recommendation | International Standard provides guidelines supporting the implementation of information security controls for cloud service customers and cloud service providers. Some guidelines are for cloud service customers who implement the controls, and others are for cloud service providers to support the implementation of those controls. The selection of appropriate information security controls and the application of the implementation guidance provided, will depend on a risk assessment and any legal, contractual, regulatory or other cloud-sector specific information security requirements.",1   ScopeThis Recommendation | International Standard gives guidelines for information security controls applicable to the provision and use of cloud services by providing:– additional implementation guidance for relevant controls specified in ISO/IEC 27002;– additional controls with implementation guidance that specifically relate to cloud services.This Recommendation | International Standard provides controls and implementation guidance for both cloud service providers and cloud service customers.,ISO/IEC 27017:2015(en)
4,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Information technology — Security techniques — Code of practice for Information security controls based on ISO/IEC 27002 for telecommunications organizations,https://www.iso.org/obp/ui/#!iso:std:64143:en,,,ISO/IEC 27011:2016(en)
5,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Information technology — Security techniques — Sector-specific application of ISO/IEC 27001 — Requirements,https://www.iso.org/obp/ui/#!iso:std:42508:en,,"1   ScopeThis International Standard defines the requirements for the use of ISO/IEC 27001 in any specific sector (field, application area or market sector). It explains how to include requirements additional to those in ISO/IEC 27001, how to refine any of the ISO/IEC 27001 requirements, and how to include controls or control sets in addition to ISO/IEC 27001:2013, Annex A.This International Standard ensures that additional or refined requirements are not in conflict with the requirements in ISO/IEC 27001.This International Standard is applicable to those involved in producing sector-specific standards that relate to ISO/IEC 27001.",ISO/IEC 27009:2016(en)
6,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).",Health informatics — Information security management in health using ISO/IEC 27002,https://www.iso.org/obp/ui/#!iso:std:62777:en,"IntroductionThis International Standard provides guidance to healthcare organizations and other custodians of personal health information on how best to protect the confidentiality, integrity and availability of such information. It is based upon and extends the general guidance provided by ISO/IEC 27002:2013 and addresses the special information security management needs of the health sector and its unique operating environments. While the protection and security of personal information is important to all individuals, corporations, institutions and governments, there are special requirements in the health  sector that need to be met to ensure the confidentiality, integrity, auditability and availability of personal health information. This type of information is regarded by many as being among the most confidential of all types of personal information. Protecting this confidentiality is essential if the privacy of subjects of care is to be maintained. The integrity of health information is to be protected to ensure patient safety, and an important component of that protection is ensuring that the information’s entire life cycle be fully auditable. The availability of health information is also critical to effective healthcare delivery. Health informatics systems is to meet unique demands to remain operational in the face of natural disasters, system failures and denial-of-service attacks. Protecting the confidentiality, integrity and availability of health information therefore requires health sector specific expertise.Regardless of size, location and model of service delivery, all healthcare organizations need to have stringent controls in place to protect the health information entrusted to them. Yet many health professionals work as solo health providers or in small clinics that lack the dedicated IT resources to manage information security. Healthcare organizations therefore need clear, concise, and health-care-specific guidance on the selection and implementation of such controls. This International Standard is to be adaptable to the wide range of sizes, locations, and models of service delivery found in healthcare. Finally, with increasing electronic exchange of personal health information between health professionals (including use of wireless and Internet services), there is a clear benefit in adopting a common reference for information security management in healthcare.ISO/IEC 27002 is already being used extensively for health informatics IT security management through the agency of national or regional guidelines in Australia, Canada, France, the Netherlands, New Zealand, South Africa, the United Kingdom and elsewhere. ISO 27799 draws upon the experience gained in these national endeavours in dealing with the security of personal health information and is intended as a companion document to ISO/IEC 27002. It is not intended to supplant the ISO/IEC 27000- series of standards. Rather, it is a complement to these more generic standards.ISO 27799 applies ISO/IEC 27002 to the healthcare domain in a way that carefully considers the appropriate application of security controls for the purposes of protecting personal health information. These considerations have, in some cases, led the authors to conclude that application of certain ISO/IEC 27002 control objectives is essential if personal health information is to be adequately protected. ISO 27799 therefore places constraints upon the application of certain security controls specified in ISO/IEC 27002.All of the security control objectives described in ISO/IEC 27002 are relevant to health informatics, but some controls require additional explanation in regard to how they can best be used to protect the confidentiality, integrity and availability of health information. There are also additional health sector specific requirements. This International Standard provides additional guidance in a format that persons responsible for health information security can readily understand and adopt.In the health domain, it is possible for an organization (a hospital, say) to be certified using ISO/IEC 27001 without requiring certification against or even acknowledgement of ISO 27799. It is to be hoped, however, that as healthcare organizations strive to improve the security of personal health information, conformance with ISO 27799 as a stricter standard for healthcare will also become widespread.ObjectivesMaintaining information confidentiality, availability, and integrity (including authenticity, accountability and auditability) are the overarching goals of information security. In healthcare, privacy of subjects of care depends upon maintaining the confidentiality of personal health information. To maintain confidentiality, measures is also be taken to maintain the integrity of data, if for no other reason than that it is possible to corrupt the integrity of access control data, audit trails, and other system data in ways that allow breaches in confidentiality to take place or to go unnoticed. In addition, patient safety depends upon maintaining the integrity of personal health information, failure to do this can also result in illness, injury or even death. Likewise, a high level of availability is an especially important attribute of health systems, where treatment is often time-critical. Indeed, disasters that could lead to outages in other, non-health related, IT systems may be the very times when the information contained in health systems is most critically needed. Moreover, denial of service attacks against networked systems are increasingly common.The controls discussed in this International Standard are those identified as appropriate in healthcare to protect confidentiality, integrity and availability of personal health information and to ensure that access to such information can be audited and accounted for. These controls help to prevent errors in medical practice that might ensue from failure to maintain the integrity of health information. In addition, they help to ensure that the continuity of medical services is maintained.There are additional considerations that shape the goals of health information security. These includes the following:a) honouring legislative obligations as expressed in applicable data protection laws and regulations protecting a subject of care is right to privacy;1b) maintaining established privacy and security best practices in health informatics;c) maintaining individual and organizational accountability among health organizations and health professionals;d) supporting the implementation of systematic risk management within health organizations;e) meeting the security needs identified in common healthcare situations;f) reducing operating costs by facilitating the increased use of technology in a safe, secure, and well managed manner that supports, but does not constrain current health activities;g) maintaining public trust in health organizations and the information systems these organizations rely upon;h) maintaining professional standards and ethics as established by health-related professional organizations (insofar as information security maintains the confidentiality and integrity of health information);i) operating electronic health information systems in an environment appropriately secured against threats;j) facilitating interoperability among health systems, since health information increasingly flows among organizations and across jurisdictional boundaries (especially as such interoperability enhances the proper handling of health information to ensure its continued confidentiality, integrity and availability).Relation to information governance,2 corporate governance and clinical governanceWhile health organizations may differ in their positions on clinical governance and corporate governance, the importance of integrating and attending to information governance ought to be beyond debate as a vital support to both. As health organizations have become ever more critically dependent on information systems to support care delivery (e.g. by exploiting decision support technologies and trends towards “evidence based” rather than “experience based” healthcare), it has become evident that events in which losses of integrity, availability and confidentiality occur may have a significant clinical impact and that problems arising from such impacts will be seen to represent failures in the ethical and legal obligations inherent in a “duty of care”.All countries and jurisdictions will undoubtedly have case studies where such breaches have led to misdiagnoses, deaths, or protracted recoveries. Clinical governance frameworks need therefore to treat effective information security risk management as equal in importance to care treatment plans, infection management strategies and other “core” clinical management matters. This International Standard will assist those responsible for clinical governance in understanding the contribution made by effective information security strategies.Health information to be protectedThere are several types of information whose confidentiality, integrity and availability3 needs to be protected bya) personal health information,b) pseudonymized data derived from personal health information through some methodology for pseudonymous identification,c) statistical and research data, including anonymized data derived from personal health information by removal of personally identifying data,d) clinical/medical knowledge not related to any specific subjects of care, including clinical decision support data (e.g. data on adverse drug reactions),e) data on health professionals, staff and volunteers,f) information related to public health surveillance,g) audit trail data, produced by health information systems, that contain personal health information or pseudonymous data derived from personal health information, or that contain data about the actions of users in regard to personal health information, andh) system security data for health information systems, including access control data and other security related system configuration data, for health information systems.The extent to which confidentiality, integrity and availability need to be protected depends upon the nature of the information, the uses to which it is put, and the risks to which it is exposed. For example, statistical data [item c) above] may not be confidential, but protecting its integrity may be very important. Likewise, audit trail data [item g) above] might not require high availability (frequent archiving with a retrieval time measured in hours rather than seconds might suffice in a given application) but its content might be highly confidential. Risk assessment can properly determine the level of effort needed to protect confidentiality, integrity and availability (see B.4.4). The results of regular risk assessment need to be fitted to the priorities and resources of the implementing organization.Threats and vulnerabilities in health information securityTypes of information security threats and vulnerabilities vary widely, as do their descriptions. While none are truly unique to healthcare, what is unique in healthcare is the array of factors to be considered when assessing threats and vulnerabilities.By their nature, health organizations operate in an environment where visitors and the public at large can never be totally excluded. In large health organizations, the sheer volume of people moving through operational areas is significant. These factors increase the vulnerability of systems to physical threats. The likelihood that such threats will occur may increase when emotional or mentally ill subjects of care or relatives are present.The critical importance of correctly identifying subjects of care and correctly matching them to their health records leads health organizations to collect detailed identifying information. Regional or jurisdictional patient registries (i.e. registries of subjects of care) are sometimes the most comprehensive and up-to-date repositories of identifying information available in a jurisdiction. This identifying information is of great potential value to those who would use it to commit identity theft and so should be rigorously protected.Many health organizations are chronically under-funded and their staff members are sometimes obliged to work under significant stress and with systems kept in service long after they ought to have been retired. These factors can increase the potential for certain types of threat and can exacerbate vulnerabilities. On the other hand, clinical care involves a range of professional, technical, administrative, ancillary and voluntary staff, many of whom see their work as a vocation. Their dedication and diversity of experience can often usefully reduce exposure to vulnerabilities. The high level of professional training received by many health professionals also sets healthcare apart from many other industrial sectors in reducing the incidence of insider threats.The health environment, with its unique threats and vulnerabilities should therefore be considered with special care. Annex A contains an informative list of the types of threat that need to be considered by health organizations when they assess risks to the confidentiality, integrity and availability of health information and to the integrity and availability of related information systems.Who should read this International Standard?This International Standard is intended for those responsible for overseeing health information security and for healthcare organizations and other custodians of health information seeking guidance on this topic, together with their security advisors, consultants, auditors, vendors and third-party service providers.This International Standards authors do not intend to write a primer on computer security, nor to restate what has already been written in ISO/IEC 27002 or in ISO/IEC 27001. There are many security requirements that are common to all computer-related systems, whether used in financial services, manufacturing, industrial control, or indeed in any other organized endeavour. A concerted effort has been made to focus on security requirements necessitated by the unique challenges of delivering electronic health information that supports the provision of care.Benefits of using this International StandardISO/IEC 27002 is a broad and complex International Standard and its advice is not tailored specifically to healthcare. ISO 27799 allows for the implementation of ISO/IEC 27002 within health environments in a consistent fashion and with particular attention to the unique challenges that the health sector poses. By following it, healthcare organizations help to ensure that the confidentiality and integrity of data in their care is maintained, that critical health information systems remain available and that accountability for health information is upheld.The adoption of this International Standard by healthcare organizations both within and among jurisdictions will assist interoperation and enable the safe adoption of new collaborative technologies in the delivery of healthcare. Secure and privacy-protective information sharing can significantly improve healthcare outcomes.As a result of implementing this International Standard, healthcare organizations can expect to see the number and severity of their security incidents reduced, allowing resources to be redeployed to productive activities. IT security will thereby allow health resources to be deployed in a cost effective and productive manner. Indeed, research by the respected Information Security Forum and by market analysts has shown that good all-round security can have as much as a 2 % positive effect upon organizations’ results.Finally, a consistent approach to IT security, understandable by all involved in healthcare, will improve staff morale and increase the trust of the public in the systems that maintain personal health information.How to use this International StandardReaders not already familiar with ISO/IEC 27002 are urged to read the introductory clauses of that standard before continuing. The implementers of ISO 27799 is to read first thoroughly ISO/IEC 27002, as the text below will frequently refer the reader to the relevant clauses of that standard. The present International Standard cannot be fully understood without access to the full text of ISO/IEC 27002.Readers seeking guidance on how to implement ISO/IEC 27002 in a health environment will find a practical action plan described in Annex B. No mandatory requirements are contained in this clause. Instead, general advice and guidance are given on how best to proceed with implementation of ISO/IEC 27002 in healthcare. The clause is organized around a cycle of activities (plan/do/check/act) that are described in ISO/IEC 27001 and that, when followed, will lead to a robust implementation of an information security management system.Readers seeking specific advice on the security control security control categories and clauses described in ISO/IEC 27002 will find it in the clauses of this International Standard with the same clause number and title as is found in ISO/IEC 27002. This clause leads the reader through each of the eleven security control clauses of the ISO/IEC 27002. Minimum requirements are stated where appropriate and, in some cases, normative guidelines are set out on the proper application of certain ISO/IEC 27002 security controls to the protection of health information.Once ISO/IEC 27002 has been put into place, the ongoing management is considered essential if the benefits of the International Standard are to be maintained. Clause 18 discusses compliance assessment and the requirements for ongoing information security management. Annex C contains a self-assessment matrix with regard to compliance.This International Standard concludes with four informative appendices.Annex A describes the general threats to health information. Annex B briefly describes a practical action plan for implementing complementary information security related International Standards. Annex C provides a checklist for compliance to ISO 27799. Clause 2 lists the standards that are cited in a normative way; the Bibliography lists other related standards in health information security.","1   ScopeThis International Standard gives guidelines for organizational information security standards and information security management practices including the selection, implementation and management of controls taking into consideration the organization’s information security risk environment(s).This International Standard defines guidelines to support the interpretation and implementation in health informatics of ISO/IEC 27002 and is a companion to that International Standard.4This International Standard provides implementation guidance for the controls described in ISO/IEC 27002 and supplements them where necessary, so that they can be effectively used for managing health information security. By implementing this International Standard, healthcare organizations and other custodians of health information will be able to ensure a minimum requisite level of security that is appropriate to their organization’s circumstances and that will maintain the confidentiality, integrity and availability of personal health information in their care.This International Standard applies to health information in all its aspects, whatever form the information takes (words and numbers, sound recordings, drawings, video, and medical images), whatever means are used to store it (printing or writing on paper or storage electronically), and whatever means are used to transmit it (by hand, through fax, over computer networks, or by post), as the information is always be appropriately protected.This International Standard and ISO/IEC 27002 taken together define what is required in terms of information security in healthcare, they do not define how these requirements are to be met. That is to say, to the fullest extent possible, this International Standard is technology-neutral. Neutrality with respect to implementing technologies is an important feature. Security technology is still undergoing rapid development and the pace of that change is now measured in months rather than years. By contrast, while subject to periodic review, International Standards are expected on the whole to remain valid for years. Just as importantly, technological neutrality leaves vendors and service providers free to suggest new or developing technologies that meet the necessary requirements that this International Standard describes.As noted in the introduction, familiarity with ISO/IEC 27002 is indispensable to an understanding of this International Standard.The following areas of information security are outside the scope of this International Standard:a) methodologies and statistical tests for effective anonymization of personal health information;b) methodologies for pseudonymization of personal health information (see Bibliography for a brief description of a Technical Specification that deals specifically with this topic);c) network quality of service and methods for measuring availability of networks used for health informatics;d) data quality (as distinct from data integrity).",ISO 27799:2016(en)
