Index,SoW,Standards
1,"The premise of the NGCI Apex program is to discover, develop, and transition new prototype technologies, designed to protect the overall critical infrastructure of the financial sector. _New technologies will be deployed to identify, protect, detect, respond, and recover, from a wide range of evolving cyber threats across five identified asset classes: devices, applications, networks, data, and people. _These technologies will be monitored to ensure they remain effective and relevant in the face of evolving threats. _The CART has developed a matrixed approach to help identify the areas of focus for the NGCI Apex program (see Figure 8 below).","https://www.iso.org/standard/56742.html
https://www.iso.org/standard/51986.html
https://www.iso.org/standard/68091.html
https://www.iso.org/standard/43757.html
https://www.iso.org/standard/64143.html
https://www.iso.org/standard/42508.html
https://www.iso.org/standard/62777.html"
3,"When the Cyber Apex Consortium contractor begins representational (open-source) architecture testing and operational architecture testing, using institution-specific parameters, (see Figure 10), different risk factors will apply. Poorly managed software integration for testing purposes has the potential to generate setbacks. Improper testing and evaluation methods could result in a cyber technology product not fully ready for deployment. The same is true of inaccurate threat modeling. _Not having deployable-ready technologies available to the customer can lead to schedule delays. _Sub-standard software performance may have the same effect. Since the NGCI Apex program will be broken up into distinct project efforts, some risks may be project dependent. ","https://www.iso.org/standard/43170.html
https://www.iso.org/standard/51986.html
https://www.iso.org/standard/29286.html
"
3,"Currently, the Department of Homeland Security (DHS) and the United States Coast Guard (USCG) do not have sufficient access to surveillance sensors that provide Maritime Domain Awareness (MDA) to support USCG mission needs, nor provide coverage of remote regions. In response, the DHS Science and Technology Directorate (S&T) created The Port and Surveillance Program, with Advanced Sensor Analytics Project (ASAP) a project within the Program, which is a technology demonstration that taps the burgeoning commercial space market and government investments in fusion and analytics, to provide a capability that will enhance MDA across all of the USCG mission space. The ASAP project consists of 3 subprojects: Polar Scout, Data Analytics, and Arctic Communications. Polar Scout: Polar Scout involves the identification and development of space-based sensor feeds. The focus is identifying and leveraging existing sensors (both commercial and government) and procuring new sensors to fill MDA gaps. Polar Scout consists of an integrated system of United States Government (USG)-owned sensors (6U CubeSats) and commercial sensors (HE360 CubeSats). These sensors will be tasked to collect maritime data in support of DHS missions. The collected data is fused with weather, Automatic Identification System (AIS), air-tracks and other data to provide the DHS and the USCG with maritime situational awareness. Based on the fused information, the Polar Scout system could then request or gather information (e.g. imagery data) from other established data sources. The information received and fused within Polar Scout is then provided as input to the Data Analytics to perform additional analysis. Data Analytics: Data Analytics provides sensor exploitation enhancement of tracking, tipping, and queuing of MDA relevant objects, to support the Coast Guard and other DHS missions. The intent is to ensure that analytics performed will provide S&T with a deeper understanding of commercial space-based data sets and corresponding data correlation, predictive and prescriptive analytics.","https://www.iso.org/standard/66187.html
https://www.iso.org/standard/68305.html
https://www.iso.org/standard/60496.html
https://www.iso.org/standard/66008.html
https://www.iso.org/standard/61902.html
https://www.iso.org/standard/41172.html
https://www.iso.org/standard/50635.html
https://www.iso.org/standard/43529.html
https://www.iso.org/standard/29775.html
https://www.iso.org/standard/39229.html
https://www.iso.org/standard/43041.html
https://www.iso.org/standard/69837.html
https://www.iso.org/standard/32581.html
https://www.iso.org/standard/60080.html
https://www.iso.org/standard/57104.html
https://www.iso.org/standard/64768.html
https://www.iso.org/standard/56113.html
https://www.iso.org/standard/51789.html
https://www.iso.org/standard/32546.html
https://www.iso.org/standard/39983.html
https://www.iso.org/standard/27853.html
https://www.iso.org/standard/67311.html"
3,"Polar Scout: The successful execution of this Polar Scout project will result in a Arctic MDA demonstrations that demonstrates SAR missions employing CubeSats to detect and geolocate 406 MHz emergency beacons. The Data Analytics project will provide predictive analytics with the ability to process information from various data sources including space-based, airborne, and ground-based. Additionally, ASAP is an open architecture (e.g., open APIs and data models) that will enable rapid integration of these solution components into Componentsê existing systems across varied DHS missions by leveraging the Integrated Maritime Domain Enterprise (IMDE/CSS) and DOD/J39's Project DataHub.","https://www.iso.org/standard/56113.html
https://www.iso.org/standard/74032.html
https://www.iso.org/standard/51789.html
"
3,"The major components of the ASAP system are listed below. Metric Name Current Capability Threshold Objective Project Objective Current Status
406 MHz Emergency Beacon without GPS Time-to-detection
Average via COSPAS-SARSAT: 46 min
Average extrapolated from project T&E: 30 min (""Average extrapolated"" means estimate for a full constellation based on T&E results of project)
Average extrapolated from project T&E: 30 min (""Average extrapolated"" means estimate for a full constellation based on T&E results of project)
Waiting on T&E in 2Q and 3Q FY18
406 MHz Emergency Beacon without GPS Time-to-geolocation
Average via COSPAS-SARSAT: 90 min
Average extrapolated from project T&E: 60 min (""Average extrapolated"" means estimate for a full constellation based on T&E results of project) Time to provide location as a web service: less than 1 minute from geolocation
Average extrapolated from project T&E: 30 min (""Average extrapolated"" means estimate for a full constellation based on T&E results of project)
Waiting on T&E in 2Q and 3Q FY18
406 MHz Emergency Beacon without GPS geolocation accuracy
Average via COSPAS-SARSAT Doppler method: within 5 km
Average via T&E: 10 km (location accuracy less important than time-to-geolocation for maritime Arctic SAR; tasked rescue assets have direction-finding capabilities)
Average via T&E: 5 km (location accuracy less important than time-to-geolocation for maritime Arctic SAR; tasked rescue assets have direction-finding capabilities)
Waiting on T&E in 2Q and 3Q FY18
Channel 16 detection distress detection beyond 20 nmi of coast
N/A from Rescue 21 or COSPAS-SARSAT
Detect, record, and playback channel 16 transmissions
(i) Also automatically identify distress words (e.g., mayday, pan-pan), (ii) Display detection region on CG COP
Waiting on T&E in 2Q and 3Q FY18
Channel 70 detection distress detection beyond 20 nmi of coast
N/A from Rescue 21 or COSPAS-SARSAT
Detect, record, and display channel 70 digital selective calling transmissions
(i) Display detection region on CG COP (ii) Decode DSC message and display any embedded location information on CG COP
Waiting on T&E in 2Q and 3Q FY18
26 September 2016 Page 20 of 22
An open architecture, open APIs, and an open data model will be central to the design of the ASAP processing node. The ASAP processing node will maintain a set of interfaces (APIs) that are meant to ensure interoperability between data systems across the various suite of sensors and sensor types. This open architecture will enable the ASAP software to interoperate with other componentsê existing systems. As mentioned previously, the ASAP open framework will consist of standards for three different levels: Infrastructure Services, Common Services, and Mission Services.
o IMDE/CSS is a DHS S&T program that will be leveraged by ASAP and will be part of the ASAP open architecture. IMDE/CSS will demonstrate an enterprise-wide system of maritime nodes providing streams of near real-time sensor data and access to non-sensor data including information, analysis, and archives. This system will access, process, and fuse data from mission feeds and diversified sensor sources and make it available through a web-based portal to all system users. IMDE/CSS is built on a scalable and _pluggable” micro-service architecture with robust core services to include logging, identity management, data entitlement, and federated discovery.
o ASAP plans to integrate onto IMDE in a later phase of the project. Polar Scout is not planned to integrate onto IMDE, however the Data Analytics does plan to integrate onto IMDE. The timeline (initially or at a later phase) of integrating onto IMDE is still under review.
Identification and development of space-based sensor feeds, where the focus is the identification and leveraging of existing commercial and government sensors; and procuring new sensors to fill MDA gaps. There are two variants of CubeSats and SmallSats that are under development by HE360 and USAF ORS.
